Name,X,Y,Source
Parkneuk,291670,718460,https://canmore.org.uk/site/26042/parkneuk
Raith,293190,718520,https://canmore.org.uk/site/26008/raith
Ardunie,294690,718760,https://canmore.org.uk/site/26019/ardunie
Roundlaw,295800,718890,https://canmore.org.uk/site/25966/roundlaw
Kirkhill,296760,718830,https://canmore.org.uk/site/25988/kirkhill
Muir O' Fauld,298210,718970,https://canmore.org.uk/site/25990/muir-o-fauld
Gask House,299030,719190,https://canmore.org.uk/site/25977/gask-house
Witch Knowe,299760,719530,https://canmore.org.uk/site/25991/witch-knowe
Moss Side,300782,719924,https://canmore.org.uk/site/26613/moss-side
Midgate,302060,720430,https://canmore.org.uk/site/26952/thorny-hill
Westmuir,302870,720780,https://canmore.org.uk/site/26954/westmuir
Black Hill,284520,710750,https://canmore.org.uk/site/25402/black-hill
