"","x"
"1",3804
"2",3876
"3",3843
"4",3808
"5",3802
"6",3762
"7",3761
"8",3968
"9",3528
"10",3807
"11",3940
"12",3890
"13",3744
"14",3845
"15",3818
"16",3797
"17",3864
"18",3979
"19",3635
"20",3771
"21",3865
"22",3734
"23",3777
"24",3952
"25",3734
"26",3680
"27",3858
"28",3631
"29",3747
"30",3763
"31",3931
"32",3926
"33",3874
"34",3813
"35",3693
"36",3727
"37",3786
"38",3756
"39",3635
"40",3938
"41",3802
"42",4032
"43",3583
"44",3946
"45",3615
"46",3564
"47",3972
"48",3737
"49",3996
"50",3842
"51",3669
"52",3849
"53",3923
"54",3749
"55",4003
"56",3883
"57",3867
"58",3903
"59",3958
"60",3662
"61",3685
"62",3922
"63",3516
"64",3714
"65",3978
"66",3881
"67",3688
"68",3412
"69",3677
"70",3939
"71",4022
"72",3735
"73",3572
"74",3909
"75",3818
"76",3717
"77",3894
"78",3860
"79",3834
"80",3757
"81",3542
"82",3890
"83",3781
"84",3557
"85",3830
"86",3700
"87",3929
"88",3829
"89",3744
"90",3839
"91",3770
"92",3775
"93",3693
"94",4003
"95",3683
"96",3644
"97",3611
"98",3920
"99",3851
