"","x"
"1",3380
"2",3572
"3",3573
"4",3266
"5",3396
"6",3501
"7",3484
"8",3630
"9",3121
"10",3447
"11",3552
"12",3583
"13",3498
"14",3411
"15",3333
"16",3521
"17",3431
"18",3604
"19",3225
"20",3263
"21",3530
"22",3434
"23",3333
"24",3587
"25",3445
"26",3181
"27",3576
"28",3334
"29",3282
"30",3256
"31",3486
"32",3540
"33",3497
"34",3453
"35",3252
"36",3422
"37",3459
"38",3424
"39",3196
"40",3655
"41",3448
"42",3619
"43",3169
"44",3602
"45",3280
"46",3173
"47",3594
"48",3342
"49",3523
"50",3296
"51",3096
"52",3387
"53",3573
"54",3277
"55",3673
"56",3653
"57",3622
"58",3528
"59",3582
"60",3279
"61",3324
"62",3633
"63",3219
"64",3238
"65",3647
"66",3592
"67",3261
"68",3037
"69",3209
"70",3723
"71",3633
"72",3389
"73",3160
"74",3595
"75",3432
"76",3302
"77",3571
"78",3565
"79",3472
"80",3368
"81",3060
"82",3540
"83",3359
"84",3265
"85",3357
"86",3039
"87",3554
"88",3478
"89",3400
"90",3514
"91",3397
"92",3184
"93",3239
"94",3441
"95",3253
"96",3172
"97",3242
"98",3627
"99",3571
